title,sub-title,author,date,url,section,text
Bolsonaro: proibidão para menores e maiores,O preconceituoso capitão-presidente reivindica e cumpre o lugar de fala de um Brasil da pornochanchada,Xico Sá,2019-03-11T10:50:39-03:00,https://brasil.elpais.com/brasil/2019/03/11/opinion/1552309318_164942.html,opinion,"Não precisamos recorrer a seriados chiques e distópicos, como abestalhadamente já fez este cronista. Nem citar os"
Resíduos de Brumadinho já matam os peixes do rio São Francisco,Dados da Fundação S.O.S. Mata Atlântica mostram que alguns trechos do Velho Chico já estão com água imprópria para uso da população.,Joana Oliveira,2019-03-22T11:25:28-03:00,https://brasil.elpais.com/brasil/2019/03/21/politica/1553194959_991458.html,politica,Um dos maiores temores dos ambientalistas depois do
Dois assessores de Bolsonaro doaram mais de 100.000 reais a campanhas da família,Levantamento da Pública mostra que outros cinco assessores prestaram serviços de campanha enquanto estavam contratados pelo atual presidente ou seus três filhos,Adriano Belisário (Agência Pública),2019-03-22T14:46:27-03:00,https://brasil.elpais.com/brasil/2019/03/21/politica/1553173153_987739.html,politica,"A “rachadinha” – apropriação de salários de assessores nomeados por parlamentares – voltou à baila no final de 2018, quando o"
Prisão de Temer reacende debate sobre uso de prisão preventiva pela Lava Jato,Promotor e professor de direito se contrapõem na análise técnica sobre a detenção do ex-presidente,Afonso Benites,2019-03-23T12:02:05-03:00,https://brasil.elpais.com/brasil/2019/03/22/politica/1553288450_214915.html,politica,"Apesar de prevista na legislação penal em apenas três ocasiões, a prisão preventiva sempre gera longas discussões quando envolve figuras públicas, como"
Bolsonaro e o desenvolvimento dos filhos do Bolsa Família: o que os pesquisadores realmente dizem,Presidente afirmou de forma imprecisa que estudo do Governo chegou a conclusão que o desenvolvimento intelectual de crianças do programa equivalia a 1/3 da média mundial,F.B.,2019-03-23T20:51:31-03:00,https://brasil.elpais.com/brasil/2019/03/22/politica/1553210408_972537.html,politica,"Na última terça-feira, o presidente"
"A queda de outro ex-presidente do Brasil, a nova fatura da Lava Jato à velha política brasileira",Ninguém podia imaginar em 2014 que a operação revelaria o maior escândalo de corrupção da história do Brasil e seria o estopim de mudanças profundas que se materializaram em um presidente de ultradireita e numa oposição irrelevante,Naiara Galarraga Gortázar,2019-03-24T09:38:53-03:00,https://brasil.elpais.com/brasil/2019/03/24/politica/1553385476_361260.html,politica,"Dois dos sete presidentes que o Brasil teve desde o fim da ditadura dormem atrás das grades, derrotados pelas suspeitas de corrupção."
"Tatiana Roque: “O problema da esquerda não é a pauta dita identitária, mas sim a lacração”","Para filósofa e matemática, campo progressista deve se opor à reforma da Previdência de Bolsonaro apresentando seu próprio projeto. Defende que a renovação deve vir a partir dos municípios",Felipe Betim,2019-03-24T19:12:05-03:00,https://brasil.elpais.com/brasil/2019/03/20/politica/1553037448_213932.html,politica,O que você destacaria de positivo e negativo na
Partidos políticos fortes: proteção contra os extremismos?,"O sistema partidário brasileiro vinha se fortalecendo desde 1994, mas a aparente solidez não foi capaz de dar garantias contra o avanço das forças radicais",Pedro Floriano Ribeiro,2019-03-25T16:13:11-03:00,https://brasil.elpais.com/brasil/2019/03/25/politica/1553536255_999485.html,politica,"O Governo dos amadores radicais dá seus primeiros passos, ainda cambaleantes, e cada vez mais amparados no andador institucional representado pela facção militar do gabinete. Principalmente em seus núcleos mais ideológicos, e incluindo o clã presidencial, o"
Michel Temer deixa a prisão após decisão da Justiça Federal no Rio,"Decisão é do desembargador Antonio Ivan Athié, do TRF-2, que também mandou soltar o ex-ministro Moreira Franco e outros seis presos na Operação Descontaminação",Felipe Betim,2019-03-25T21:14:48-03:00,https://brasil.elpais.com/brasil/2019/03/25/politica/1553536554_803335.html,politica,"já está fora da cadeia. O desembargador Antonio Ivan Athié, do Tribunal Regional da 2ª Região (TRF-2), revogou na tarde desta segunda-feira a prisão preventiva do ex-presidente da República (MDB), segundo confirmou o próprio tribunal. Temer está detido desde a última quinta-feira, 21 de março, por ordem do juiz federal"
A guerra de todos contra todos no Governo Bolsonaro,"Com chamado aberto à comemoração do golpe de 1964, presidente dobra sua aposta na polarização política",Afonso Benites,2019-03-25T23:32:22-03:00,https://brasil.elpais.com/brasil/2019/03/26/politica/1553557825_337887.html,politica,O
